conditions,genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
6h-2e10,Tomm20,4.48228372830563e-14,-0.34100780440577805,0.856,0.91,6.181517489706294e-10
6h-2e10,Pno1,4.5644025321755035e-14,-0.5540031217086911,0.446,0.6,6.294767532123237e-10
6h-2e10,Ppan,4.7734096382252273e-14,-0.5891025763874673,0.486,0.611,6.583009232076411e-10
6h-2e10,Npm1,5.2084960566889684e-14,-0.181236509102078,1,1,7.183036911779756e-10
6h-2e10,Ehd1,7.564054940067601e-14,-0.8848833661962601,0.183,0.329,1.043158816784723e-9
6h-2e10,Eif1,1.285779298288589e-13,-0.19691826167589266,0.997,0.998,1.7732182302697932e-9
6h-2e10,C1qbp,1.6241406125807566e-13,-0.3715085329509552,0.791,0.882,2.2398523188101216e-9
6h-2e10,Snu13,1.8763791282783012e-13,-0.3546074644418651,0.865,0.914,2.587714455808605e-9
6h-2e10,Timm23,2.1036265598420102e-13,-0.37674828302327434,0.752,0.84,2.9011113886781165e-9
6h-2e10,Ctla2a,2.710647821396113e-13,1.5823353101330153,0.11,0.037,3.738254410487379e-9
6h-2e10,Nkg7,2.9213868623909135e-13,-1.1872559656062598,0.131,0.262,4.028884621923308e-9
6h-2e10,Ebna1bp2,3.548138144202436e-13,-0.4342389144025004,0.621,0.745,4.89323731466958e-9
6h-2e10,Ccl3,4.299847387905082e-13,-1.4470214929265306,0.159,0.287,5.929919532659899e-9
6h-2e10,Bcl2a1b,5.082456460349718e-13,-0.70296964292499,0.335,0.478,7.009215704468297e-9
6h-2e10,Nop58,5.890127481193796e-13,-0.32609221627254625,0.808,0.878,8.123074809314365e-9
6h-2e10,Tmsb4x,5.994694774212895e-13,0.20550958616001846,1,1,8.267283563117004e-9
6h-2e10,Ldha,6.877469113128233e-13,-0.21609330267442095,0.997,0.998,9.484717653915145e-9
6h-2e10,Cd200,7.629640882775209e-13,-0.41609506764441107,0.774,0.832,1.0522037741435292e-8
6h-2e10,Pik3cd,8.475584151637572e-13,0.5820420706677092,0.629,0.515,1.1688678103523375e-8
6h-2e10,Grap,9.290677230893001e-13,-0.6194541899645479,0.497,0.607,1.2812772969124538e-8
6h-2e10,Btla,1.1304905277060112e-12,-0.3876454015434947,0.76,0.845,1.55905948675936e-8
6h-2e10,Srgn,1.186380867032233e-12,-0.3453422960858814,0.825,0.876,1.6361378537241524e-8
